titulo,idioma,sinopsis,reseña,género,documento_crudo,documento
Cars 2,Español,Todo comienza en Cars 2 cuando un descubrimiento asombroso que redefine lo que sabían hasta ahora. Una experiencia visual que no deja a nadie indiferente.,"Personalmente, la definiría como entretenida aunque predecible en algunos puntos. La recomendaría.","Animación, Familia, Aventura, Comedia","Cars 2. Español Todo comienza en Cars 2 cuando un descubrimiento asombroso que redefine lo que sabían hasta ahora. Una experiencia visual que no deja a nadie indiferente. Personalmente, la definiría como entretenida aunque predecible en algunos puntos. La recomendaría. Animación, Familia, Aventura, Comedia",cars 2 español comienz cars 2 descubr asombr redefin sab ahor experient visual dej nadi indiferent personal defin entreten aunqu predec punt recomend anim famili aventur comedi
Green Lantern,Inglés,"En la película Green Lantern descubrimos un conflicto inesperado que cambia el destino de todos. Sin duda, una propuesta arriesgada pero muy bien ejecutada.","La crítica coincide en que es visualmente increíble, aunque el guion flojea. La recomendaría.","Aventura, Acción, Suspense, Ciencia Ficción","Green Lantern. Inglés En la película Green Lantern descubrimos un conflicto inesperado que cambia el destino de todos. Sin duda, una propuesta arriesgada pero muy bien ejecutada. La crítica coincide en que es visualmente increíble, aunque el guion flojea. La recomendaría. Aventura, Acción, Suspense, Ciencia Ficción",gre lantern ingles pelicul gre lantern descubr conflict inesper cambi destin dud propuest arriesg bien ejecut critic coincid visual increibl aunqu guion floje recomend aventur accion suspens cienci ficcion
Toy Story 3,Español,Acompañamos a los personajes de Toy Story 3 en un conflicto inesperado que cambia el destino de todos. Una experiencia visual que no deja a nadie indiferente.,"La crítica coincide en que es visualmente increíble, aunque el guion flojea. La recomendaría.","Animación, Familia, Comedia","Toy Story 3. Español Acompañamos a los personajes de Toy Story 3 en un conflicto inesperado que cambia el destino de todos. Una experiencia visual que no deja a nadie indiferente. La crítica coincide en que es visualmente increíble, aunque el guion flojea. La recomendaría. Animación, Familia, Comedia",toy story 3 español acompañ personaj toy story 3 conflict inesper cambi destin experient visual dej nadi indiferent critic coincid visual increibl aunqu guion floje recomend anim famili comedi
Terminator Salvation,Inglés,Exploramos en Terminator Salvation la historia de una serie de eventos misteriosos que mantienen el suspense hasta el final. Una pieza fundamental para entender este género cinematográfico.,"Tras verla, diría que es visualmente increíble, aunque el guion flojea. La recomendaría.","Acción, Ciencia Ficción, Suspense","Terminator Salvation. Inglés Exploramos en Terminator Salvation la historia de una serie de eventos misteriosos que mantienen el suspense hasta el final. Una pieza fundamental para entender este género cinematográfico. Tras verla, diría que es visualmente increíble, aunque el guion flojea. La recomendaría. Acción, Ciencia Ficción, Suspense",terminator salvation ingles explor terminator salvation histori seri event misteri mantien suspens final piez fundamental entend gener cinematograf tras verl dir visual increibl aunqu guion floje recomend accion cienci ficcion suspens
Furious 7,Español,La trama de Furious 7 nos sumerge en un viaje emocional que pone a prueba los límites de la realidad. Es una obra que invita a la reflexión profunda.,"Desde mi punto de vista, estamos ante una decepción comparada con las expectativas. La recomendaría.",Acción,"Furious 7. Español La trama de Furious 7 nos sumerge en un viaje emocional que pone a prueba los límites de la realidad. Es una obra que invita a la reflexión profunda. Desde mi punto de vista, estamos ante una decepción comparada con las expectativas. La recomendaría. Acción",furious 7 español tram furious 7 sumerg viaj emocional pon prueb limit realid obra invit reflexion profund punt vist decepcion compar expect recomend accion
World War Z,Inglés,En la película World War Z descubrimos un conflicto inesperado que cambia el destino de todos. Destaca por su originalidad y su ritmo narrativo.,"Desde mi punto de vista, estamos ante fascinante y muy bien estructurada. La recomendaría.","Acción, Drama, Terror, Ciencia Ficción, Suspense","World War Z. Inglés En la película World War Z descubrimos un conflicto inesperado que cambia el destino de todos. Destaca por su originalidad y su ritmo narrativo. Desde mi punto de vista, estamos ante fascinante y muy bien estructurada. La recomendaría. Acción, Drama, Terror, Ciencia Ficción, Suspense",world war z ingles pelicul world war z descubr conflict inesper cambi destin destac original ritm narrat punt vist fascin bien estructur recomend accion dram terror cienci ficcion suspens
X-Men: Days of Future Past,Español,"Acompañamos a los personajes de X-Men: Days of Future Past en una aventura vibrante cargada de acción y giros de guion constantes. Sin duda, una propuesta arriesgada pero muy bien ejecutada.",Me pareció una película una decepción comparada con las expectativas. La recomendaría.,"Acción, Aventura, Fantasía, Ciencia Ficción","X-Men: Days of Future Past. Español Acompañamos a los personajes de X-Men: Days of Future Past en una aventura vibrante cargada de acción y giros de guion constantes. Sin duda, una propuesta arriesgada pero muy bien ejecutada. Me pareció una película una decepción comparada con las expectativas. La recomendaría. Acción, Aventura, Fantasía, Ciencia Ficción",xmen days of futur past español acompañ personaj xmen days of futur past aventur vibrant carg accion gir guion constant dud propuest arriesg bien ejecut parec pelicul decepcion compar expect recomend accion aventur fantas cienci ficcion
Star Trek Into Darkness,Inglés,"Bajo la dirección de su autor, Star Trek Into Darkness presenta una relación compleja marcada por el pasado y los secretos ocultos. Ideal para los amantes del cine con un mensaje potente.",La crítica coincide en que es entretenida aunque predecible en algunos puntos. La recomendaría.,"Acción, Aventura, Ciencia Ficción","Star Trek Into Darkness. Inglés Bajo la dirección de su autor, Star Trek Into Darkness presenta una relación compleja marcada por el pasado y los secretos ocultos. Ideal para los amantes del cine con un mensaje potente. La crítica coincide en que es entretenida aunque predecible en algunos puntos. La recomendaría. Acción, Aventura, Ciencia Ficción",star trek into darkness ingles baj direccion autor star trek into darkness present relacion complej marc pas secret ocult ideal amant cin mensaj potent critic coincid entreten aunqu predec punt recomend accion aventur cienci ficcion
Jack the Giant Slayer,Español,La narrativa de Jack the Giant Slayer se centra en un descubrimiento asombroso que redefine lo que sabían hasta ahora. Ideal para los amantes del cine con un mensaje potente.,Me pareció una película impactante y llena de fuerza narrativa. La recomendaría.,"Acción, Familia, Fantasía","Jack the Giant Slayer. Español La narrativa de Jack the Giant Slayer se centra en un descubrimiento asombroso que redefine lo que sabían hasta ahora. Ideal para los amantes del cine con un mensaje potente. Me pareció una película impactante y llena de fuerza narrativa. La recomendaría. Acción, Familia, Fantasía",jack the giant slay español narrat jack the giant slay centr descubr asombr redefin sab ahor ideal amant cin mensaj potent parec pelicul impact llen fuerz narrat recomend accion famili fantas
The Great Gatsby,Inglés,"Bajo la dirección de su autor, The Great Gatsby presenta una búsqueda incansable por la verdad en un mundo lleno de peligros. El desenlace resulta sorprendente y muy satisfactorio.","Desde mi punto de vista, estamos ante una joya oculta que merece más reconocimiento. La recomendaría.","Drama, Romance","The Great Gatsby. Inglés Bajo la dirección de su autor, The Great Gatsby presenta una búsqueda incansable por la verdad en un mundo lleno de peligros. El desenlace resulta sorprendente y muy satisfactorio. Desde mi punto de vista, estamos ante una joya oculta que merece más reconocimiento. La recomendaría. Drama, Romance",the great gatsby ingles baj direccion autor the great gatsby present busqued incans verd mund llen peligr desenlac result sorprendent satisfactori punt vist joy ocult merec reconoc recomend dram romanc
Prince of Persia: The Sands of Time,Español,El universo de Prince of Persia: The Sands of Time nos muestra un viaje emocional que pone a prueba los límites de la realidad. Destaca por su originalidad y su ritmo narrativo.,Me pareció una película una decepción comparada con las expectativas. La recomendaría.,"Aventura, Fantasía, Acción, Romance","Prince of Persia: The Sands of Time. Español El universo de Prince of Persia: The Sands of Time nos muestra un viaje emocional que pone a prueba los límites de la realidad. Destaca por su originalidad y su ritmo narrativo. Me pareció una película una decepción comparada con las expectativas. La recomendaría. Aventura, Fantasía, Acción, Romance",princ of persi the sands of tim español univers princ of persi the sands of tim muestr viaj emocional pon prueb limit realid destac original ritm narrat parec pelicul decepcion compar expect recomend aventur fantas accion romanc
Pacific Rim,Inglés,Todo comienza en Pacific Rim cuando un viaje emocional que pone a prueba los límites de la realidad. Una pieza fundamental para entender este género cinematográfico.,Considero que Pacific Rim es entretenida aunque predecible en algunos puntos. La recomendaría.,"Acción, Ciencia Ficción, Aventura","Pacific Rim. Inglés Todo comienza en Pacific Rim cuando un viaje emocional que pone a prueba los límites de la realidad. Una pieza fundamental para entender este género cinematográfico. Considero que Pacific Rim es entretenida aunque predecible en algunos puntos. La recomendaría. Acción, Ciencia Ficción, Aventura",pacific rim ingles comienz pacific rim viaj emocional pon prueb limit realid piez fundamental entend gener cinematograf consider pacific rim entreten aunqu predec punt recomend accion cienci ficcion aventur
Transformers: Dark of the Moon,Español,En la película Transformers: Dark of the Moon descubrimos una aventura vibrante cargada de acción y giros de guion constantes. El cierre de la historia deja una huella imborrable en el espectador.,"Personalmente, la definiría como impactante y llena de fuerza narrativa. La recomendaría.","Acción, Ciencia Ficción, Aventura","Transformers: Dark of the Moon. Español En la película Transformers: Dark of the Moon descubrimos una aventura vibrante cargada de acción y giros de guion constantes. El cierre de la historia deja una huella imborrable en el espectador. Personalmente, la definiría como impactante y llena de fuerza narrativa. La recomendaría. Acción, Ciencia Ficción, Aventura",transformers dark of the moon español pelicul transformers dark of the moon descubr aventur vibrant carg accion gir guion constant cierr histori dej huell imborr espect personal defin impact llen fuerz narrat recomend accion cienci ficcion aventur
Indiana Jones and the Kingdom of the Crystal Skull,Inglés,Acompañamos a los personajes de Indiana Jones and the Kingdom of the Crystal Skull en un conflicto inesperado que cambia el destino de todos. Una pieza fundamental para entender este género cinematográfico.,"Desde mi punto de vista, estamos ante visualmente increíble, aunque el guion flojea. La recomendaría.","Aventura, Acción","Indiana Jones and the Kingdom of the Crystal Skull. Inglés Acompañamos a los personajes de Indiana Jones and the Kingdom of the Crystal Skull en un conflicto inesperado que cambia el destino de todos. Una pieza fundamental para entender este género cinematográfico. Desde mi punto de vista, estamos ante visualmente increíble, aunque el guion flojea. La recomendaría. Aventura, Acción",indian jon and the kingdom of the crystal skull ingles acompañ personaj indian jon and the kingdom of the crystal skull conflict inesper cambi destin piez fundamental entend gener cinematograf punt vist visual increibl aunqu guion floje recomend aventur accion
The Good Dinosaur,Español,"En la película The Good Dinosaur descubrimos una serie de eventos misteriosos que mantienen el suspense hasta el final. Sin duda, una propuesta arriesgada pero muy bien ejecutada.","Desde mi punto de vista, estamos ante visualmente increíble, aunque el guion flojea. La recomendaría.","Aventura, Animación, Familia","The Good Dinosaur. Español En la película The Good Dinosaur descubrimos una serie de eventos misteriosos que mantienen el suspense hasta el final. Sin duda, una propuesta arriesgada pero muy bien ejecutada. Desde mi punto de vista, estamos ante visualmente increíble, aunque el guion flojea. La recomendaría. Aventura, Animación, Familia",the good dinosaur español pelicul the good dinosaur descubr seri event misteri mantien suspens final dud propuest arriesg bien ejecut punt vist visual increibl aunqu guion floje recomend aventur anim famili
Brave,Inglés,"Bajo la dirección de su autor, Brave presenta una aventura vibrante cargada de acción y giros de guion constantes. El desenlace resulta sorprendente y muy satisfactorio.","Una experiencia cinematográfica un poco lenta, pero con actuaciones brillantes. La recomendaría.","Animación, Aventura, Comedia, Familia, Acción, Fantasía","Brave. Inglés Bajo la dirección de su autor, Brave presenta una aventura vibrante cargada de acción y giros de guion constantes. El desenlace resulta sorprendente y muy satisfactorio. Una experiencia cinematográfica un poco lenta, pero con actuaciones brillantes. La recomendaría. Animación, Aventura, Comedia, Familia, Acción, Fantasía",brav ingles baj direccion autor brav present aventur vibrant carg accion gir guion constant desenlac result sorprendent satisfactori experient cinematograf lent actuacion brillant recomend anim aventur comedi famili accion fantas
Star Trek Beyond,Español,"Acompañamos a los personajes de Star Trek Beyond en una serie de eventos misteriosos que mantienen el suspense hasta el final. Sin duda, una propuesta arriesgada pero muy bien ejecutada.","Desde mi punto de vista, estamos ante visualmente increíble, aunque el guion flojea. La recomendaría.","Acción, Aventura, Ciencia Ficción","Star Trek Beyond. Español Acompañamos a los personajes de Star Trek Beyond en una serie de eventos misteriosos que mantienen el suspense hasta el final. Sin duda, una propuesta arriesgada pero muy bien ejecutada. Desde mi punto de vista, estamos ante visualmente increíble, aunque el guion flojea. La recomendaría. Acción, Aventura, Ciencia Ficción",star trek beyond español acompañ personaj star trek beyond seri event misteri mantien suspens final dud propuest arriesg bien ejecut punt vist visual increibl aunqu guion floje recomend accion aventur cienci ficcion
WALL·E,Inglés,"Bajo la dirección de su autor, WALL·E presenta una serie de eventos misteriosos que mantienen el suspense hasta el final. Es una obra que invita a la reflexión profunda.","Tras verla, diría que es impactante y llena de fuerza narrativa. La recomendaría.","Animación, Familia","WALL·E. Inglés Bajo la dirección de su autor, WALL·E presenta una serie de eventos misteriosos que mantienen el suspense hasta el final. Es una obra que invita a la reflexión profunda. Tras verla, diría que es impactante y llena de fuerza narrativa. La recomendaría. Animación, Familia",wall ingles baj direccion autor wall present seri event misteri mantien suspens final obra invit reflexion profund tras verl dir impact llen fuerz narrat recomend anim famili
Rush Hour 3,Español,Todo comienza en Rush Hour 3 cuando un viaje emocional que pone a prueba los límites de la realidad. El cierre de la historia deja una huella imborrable en el espectador.,No cabe duda de que es fascinante y muy bien estructurada. La recomendaría.,"Acción, Comedia, Crimen, Suspense","Rush Hour 3. Español Todo comienza en Rush Hour 3 cuando un viaje emocional que pone a prueba los límites de la realidad. El cierre de la historia deja una huella imborrable en el espectador. No cabe duda de que es fascinante y muy bien estructurada. La recomendaría. Acción, Comedia, Crimen, Suspense",rush hour 3 español comienz rush hour 3 viaj emocional pon prueb limit realid cierr histori dej huell imborr espect cab dud fascin bien estructur recomend accion comedi crim suspens
2012,Inglés,La trama de 2012 nos sumerge en un descubrimiento asombroso que redefine lo que sabían hasta ahora. Ideal para los amantes del cine con un mensaje potente.,"Desde mi punto de vista, estamos ante impactante y llena de fuerza narrativa. La recomendaría.","Acción, Aventura, Ciencia Ficción","2012. Inglés La trama de 2012 nos sumerge en un descubrimiento asombroso que redefine lo que sabían hasta ahora. Ideal para los amantes del cine con un mensaje potente. Desde mi punto de vista, estamos ante impactante y llena de fuerza narrativa. La recomendaría. Acción, Aventura, Ciencia Ficción",2012 ingles tram 2012 sumerg descubr asombr redefin sab ahor ideal amant cin mensaj potent punt vist impact llen fuerz narrat recomend accion aventur cienci ficcion
A Christmas Carol,Español,La trama de A Christmas Carol nos sumerge en una lucha épica contra fuerzas que amenazan con destruirlo todo. El cierre de la historia deja una huella imborrable en el espectador.,"Personalmente, la definiría como un poco lenta, pero con actuaciones brillantes. La recomendaría.","Animación, Drama","A Christmas Carol. Español La trama de A Christmas Carol nos sumerge en una lucha épica contra fuerzas que amenazan con destruirlo todo. El cierre de la historia deja una huella imborrable en el espectador. Personalmente, la definiría como un poco lenta, pero con actuaciones brillantes. La recomendaría. Animación, Drama",christm carol español tram christm carol sumerg luch epic fuerz amenaz destru cierr histori dej huell imborr espect personal defin lent actuacion brillant recomend anim dram
Jupiter Ascending,Inglés,"La trama de Jupiter Ascending nos sumerge en una aventura vibrante cargada de acción y giros de guion constantes. Sin duda, una propuesta arriesgada pero muy bien ejecutada.",Una experiencia cinematográfica impactante y llena de fuerza narrativa. La recomendaría.,"Ciencia Ficción, Fantasía, Acción, Aventura","Jupiter Ascending. Inglés La trama de Jupiter Ascending nos sumerge en una aventura vibrante cargada de acción y giros de guion constantes. Sin duda, una propuesta arriesgada pero muy bien ejecutada. Una experiencia cinematográfica impactante y llena de fuerza narrativa. La recomendaría. Ciencia Ficción, Fantasía, Acción, Aventura",jupit ascending ingles tram jupit ascending sumerg aventur vibrant carg accion gir guion constant dud propuest arriesg bien ejecut experient cinematograf impact llen fuerz narrat recomend cienci ficcion fantas accion aventur
The Legend of Tarzan,Español,Exploramos en The Legend of Tarzan la historia de una búsqueda incansable por la verdad en un mundo lleno de peligros. Ideal para los amantes del cine con un mensaje potente.,"Desde mi punto de vista, estamos ante visualmente increíble, aunque el guion flojea. La recomendaría.","Acción, Aventura","The Legend of Tarzan. Español Exploramos en The Legend of Tarzan la historia de una búsqueda incansable por la verdad en un mundo lleno de peligros. Ideal para los amantes del cine con un mensaje potente. Desde mi punto de vista, estamos ante visualmente increíble, aunque el guion flojea. La recomendaría. Acción, Aventura",the legend of tarz español explor the legend of tarz histori busqued incans verd mund llen peligr ideal amant cin mensaj potent punt vist visual increibl aunqu guion floje recomend accion aventur
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Inglés,"En la película The Chronicles of Narnia: The Lion, the Witch and the Wardrobe descubrimos una aventura vibrante cargada de acción y giros de guion constantes. El cierre de la historia deja una huella imborrable en el espectador.","Una experiencia cinematográfica visualmente increíble, aunque el guion flojea. La recomendaría.","Aventura, Familia, Fantasía","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe. Inglés En la película The Chronicles of Narnia: The Lion, the Witch and the Wardrobe descubrimos una aventura vibrante cargada de acción y giros de guion constantes. El cierre de la historia deja una huella imborrable en el espectador. Una experiencia cinematográfica visualmente increíble, aunque el guion flojea. La recomendaría. Aventura, Familia, Fantasía",the chronicl of narni the lion the witch and the wardrob ingles pelicul the chronicl of narni the lion the witch and the wardrob descubr aventur vibrant carg accion gir guion constant cierr histori dej huell imborr espect experient cinematograf visual increibl aunqu guion floje recomend aventur famili fantas
X-Men: Apocalypse,Español,La trama de X-Men: Apocalypse nos sumerge en una relación compleja marcada por el pasado y los secretos ocultos. El desenlace resulta sorprendente y muy satisfactorio.,Me pareció una película una obra maestra del cine actual. La recomendaría.,Ciencia Ficción,X-Men: Apocalypse. Español La trama de X-Men: Apocalypse nos sumerge en una relación compleja marcada por el pasado y los secretos ocultos. El desenlace resulta sorprendente y muy satisfactorio. Me pareció una película una obra maestra del cine actual. La recomendaría. Ciencia Ficción,xmen apocalyps español tram xmen apocalyps sumerg relacion complej marc pas secret ocult desenlac result sorprendent satisfactori parec pelicul obra maestr cin actual recomend cienci ficcion
The Dark Knight,Inglés,En la película The Dark Knight descubrimos un viaje emocional que pone a prueba los límites de la realidad. Ideal para los amantes del cine con un mensaje potente.,Considero que The Dark Knight es impactante y llena de fuerza narrativa. La recomendaría.,"Drama, Acción, Crimen, Suspense","The Dark Knight. Inglés En la película The Dark Knight descubrimos un viaje emocional que pone a prueba los límites de la realidad. Ideal para los amantes del cine con un mensaje potente. Considero que The Dark Knight es impactante y llena de fuerza narrativa. La recomendaría. Drama, Acción, Crimen, Suspense",the dark knight ingles pelicul the dark knight descubr viaj emocional pon prueb limit realid ideal amant cin mensaj potent consider the dark knight impact llen fuerz narrat recomend dram accion crim suspens
Up,Español,El universo de Up nos muestra un conflicto inesperado que cambia el destino de todos. Es una obra que invita a la reflexión profunda.,No cabe duda de que es fascinante y muy bien estructurada. La recomendaría.,"Animación, Comedia, Familia, Aventura","Up. Español El universo de Up nos muestra un conflicto inesperado que cambia el destino de todos. Es una obra que invita a la reflexión profunda. No cabe duda de que es fascinante y muy bien estructurada. La recomendaría. Animación, Comedia, Familia, Aventura",up español univers up muestr conflict inesper cambi destin obra invit reflexion profund cab dud fascin bien estructur recomend anim comedi famili aventur
Monsters vs Aliens,Inglés,Todo comienza en Monsters vs Aliens cuando un conflicto inesperado que cambia el destino de todos. Una pieza fundamental para entender este género cinematográfico.,"Personalmente, la definiría como una decepción comparada con las expectativas. La recomendaría.","Animación, Familia, Aventura, Ciencia Ficción","Monsters vs Aliens. Inglés Todo comienza en Monsters vs Aliens cuando un conflicto inesperado que cambia el destino de todos. Una pieza fundamental para entender este género cinematográfico. Personalmente, la definiría como una decepción comparada con las expectativas. La recomendaría. Animación, Familia, Aventura, Ciencia Ficción",monsters vs aliens ingles comienz monsters vs aliens conflict inesper cambi destin piez fundamental entend gener cinematograf personal defin decepcion compar expect recomend anim famili aventur cienci ficcion
Iron Man,Español,La narrativa de Iron Man se centra en una aventura vibrante cargada de acción y giros de guion constantes. Una experiencia visual que no deja a nadie indiferente.,"Desde mi punto de vista, estamos ante impactante y llena de fuerza narrativa. La recomendaría.","Acción, Ciencia Ficción, Aventura","Iron Man. Español La narrativa de Iron Man se centra en una aventura vibrante cargada de acción y giros de guion constantes. Una experiencia visual que no deja a nadie indiferente. Desde mi punto de vista, estamos ante impactante y llena de fuerza narrativa. La recomendaría. Acción, Ciencia Ficción, Aventura",iron man español narrat iron man centr aventur vibrant carg accion gir guion constant experient visual dej nadi indiferent punt vist impact llen fuerz narrat recomend accion cienci ficcion aventur
Hugo,Inglés,"El universo de Hugo nos muestra una búsqueda incansable por la verdad en un mundo lleno de peligros. Sin duda, una propuesta arriesgada pero muy bien ejecutada.","Personalmente, la definiría como entretenida aunque predecible en algunos puntos. La recomendaría.","Aventura, Drama, Familia","Hugo. Inglés El universo de Hugo nos muestra una búsqueda incansable por la verdad en un mundo lleno de peligros. Sin duda, una propuesta arriesgada pero muy bien ejecutada. Personalmente, la definiría como entretenida aunque predecible en algunos puntos. La recomendaría. Aventura, Drama, Familia",hug ingles univers hug muestr busqued incans verd mund llen peligr dud propuest arriesg bien ejecut personal defin entreten aunqu predec punt recomend aventur dram famili
